START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
03/14/15,01:05 PM,04:05 PM,Indians at Dodgers,Camelback Ranch,"Local TV: MLBN (delay) -- SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 LA Sports",03/14/15,03/14/15,04:05 PM,07:05 PM,FALSE,TRUE,03/14/15,12:05 PM,03:05 PM,FREE,BUSY
03/15/15,01:05 PM,04:05 PM,Dodgers at Mariners,Peoria Stadium,"Local TV: SportsNet LA -- MLBN (delay) ----- Local Radio: KTNQ 1020 -- 570 LA Sports",03/15/15,03/15/15,04:05 PM,07:05 PM,FALSE,TRUE,03/15/15,12:05 PM,03:05 PM,FREE,BUSY
03/16/15,01:05 PM,04:05 PM,Athletics at Dodgers,Camelback Ranch,"Local TV: MLBN (delay) -- SportsNet LA",03/16/15,03/16/15,04:05 PM,07:05 PM,FALSE,TRUE,03/16/15,12:05 PM,03:05 PM,FREE,BUSY
03/17/15,01:05 PM,04:05 PM,Dodgers at Rangers,Surprise Stadium,"Local TV: SportsNet LA",03/17/15,03/17/15,04:05 PM,07:05 PM,FALSE,TRUE,03/17/15,12:05 PM,03:05 PM,FREE,BUSY
03/18/15,01:05 PM,04:05 PM,Cubs at Dodgers,Camelback Ranch,"Local TV: MLBN (delay) -- SportsNet LA",03/18/15,03/18/15,04:05 PM,07:05 PM,FALSE,TRUE,03/18/15,12:05 PM,03:05 PM,FREE,BUSY
03/19/15,01:05 PM,04:05 PM,Angels at Dodgers,Camelback Ranch,"Local TV: SportsNet LA ----- Local Radio: 570 LA Sports",03/19/15,03/19/15,04:05 PM,07:05 PM,FALSE,TRUE,03/19/15,12:05 PM,03:05 PM,FREE,BUSY
03/20/15,05:05 PM,08:05 PM,Dodgers at Rangers,Alamodome,,03/20/15,03/20/15,08:05 PM,11:05 PM,FALSE,TRUE,03/20/15,04:05 PM,07:05 PM,FREE,BUSY
03/20/15,01:05 PM,04:05 PM,Dodgers at Athletics,HoHoKam Stadium,"Local TV: SportsNet LA",03/20/15,03/20/15,04:05 PM,07:05 PM,FALSE,TRUE,03/20/15,12:05 PM,03:05 PM,FREE,BUSY
03/21/15,11:05 AM,02:05 PM,Dodgers at Rangers,Alamodome,,03/21/15,03/21/15,02:05 PM,05:05 PM,FALSE,TRUE,03/21/15,10:05 AM,01:05 PM,FREE,BUSY
03/21/15,01:10 PM,04:10 PM,Dodgers at Rockies,Salt River Fields at Talking Stick,"Local TV: SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 LA Sports",03/21/15,03/21/15,04:10 PM,07:10 PM,FALSE,TRUE,03/21/15,12:10 PM,03:10 PM,FREE,BUSY
03/22/15,01:05 PM,04:05 PM,Indians at Dodgers,Camelback Ranch,"Local TV: MLBN (delay) -- SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 LA Sports",03/22/15,03/22/15,04:05 PM,07:05 PM,FALSE,TRUE,03/22/15,12:05 PM,03:05 PM,FREE,BUSY
03/23/15,01:05 PM,04:05 PM,D-backs at Dodgers,Camelback Ranch,"Local TV: MLBN (delay) -- SportsNet LA",03/23/15,03/23/15,04:05 PM,07:05 PM,FALSE,TRUE,03/23/15,12:05 PM,03:05 PM,FREE,BUSY
03/25/15,01:05 PM,04:05 PM,Padres at Dodgers,Camelback Ranch,"Local TV: SportsNet LA",03/25/15,03/25/15,04:05 PM,07:05 PM,FALSE,TRUE,03/25/15,12:05 PM,03:05 PM,FREE,BUSY
03/26/15,01:05 PM,04:05 PM,Dodgers at White Sox,Camelback Ranch,"Local TV: SportsNet LA",03/26/15,03/26/15,04:05 PM,07:05 PM,FALSE,TRUE,03/26/15,12:05 PM,03:05 PM,FREE,BUSY
03/27/15,07:05 PM,10:05 PM,Giants at Dodgers,Camelback Ranch,"Local TV: MLBN (delay) -- SportsNet LA ----- Local Radio: 570 LA Sports",03/27/15,03/28/15,10:05 PM,01:05 AM,FALSE,TRUE,03/27/15,06:05 PM,09:05 PM,FREE,BUSY
03/28/15,01:10 PM,04:10 PM,Dodgers at Angels,Tempe Diablo Stadium,"Local TV: SportsNet LA ----- Local Radio: 570 LA Sports",03/28/15,03/28/15,04:10 PM,07:10 PM,FALSE,TRUE,03/28/15,12:10 PM,03:10 PM,FREE,BUSY
03/29/15,01:05 PM,04:05 PM,Dodgers at Giants,Scottsdale Stadium,"Local TV: SportsNet LA",03/29/15,03/29/15,04:05 PM,07:05 PM,FALSE,TRUE,03/29/15,12:05 PM,03:05 PM,FREE,BUSY
03/29/15,01:05 PM,04:05 PM,Rangers at Dodgers,Camelback Ranch,"Local Radio: 570 LA Sports",03/29/15,03/29/15,04:05 PM,07:05 PM,FALSE,TRUE,03/29/15,12:05 PM,03:05 PM,FREE,BUSY
03/30/15,01:10 PM,04:10 PM,Dodgers at D-backs,Salt River Fields at Talking Stick,"Local TV: MLBN (delay) -- SportsNet LA",03/30/15,03/30/15,04:10 PM,07:10 PM,FALSE,TRUE,03/30/15,12:10 PM,03:10 PM,FREE,BUSY
03/31/15,01:05 PM,04:05 PM,White Sox at Dodgers,Camelback Ranch,"Local TV: SportsNet LA",03/31/15,03/31/15,04:05 PM,07:05 PM,FALSE,TRUE,03/31/15,12:05 PM,03:05 PM,FREE,BUSY
04/01/15,12:05 PM,03:05 PM,Dodgers at Royals,Surprise Stadium,"Local TV: MLBN (delay) -- SportsNet LA",04/01/15,04/01/15,03:05 PM,06:05 PM,FALSE,TRUE,04/01/15,11:05 AM,02:05 PM,FREE,BUSY
04/02/15,07:05 PM,10:05 PM,Dodgers at Angels,Angel Stadium of Anaheim,"Local TV: SportsNet LA -- MLBN (delay) ----- Local Radio: 570 LA Sports",04/02/15,04/03/15,10:05 PM,01:05 AM,FALSE,TRUE,04/02/15,06:05 PM,09:05 PM,FREE,BUSY
04/03/15,07:05 PM,10:05 PM,Dodgers at Angels,Angel Stadium of Anaheim,"Local TV: SportsNet LA ----- Local Radio: 570 LA Sports",04/03/15,04/04/15,10:05 PM,01:05 AM,FALSE,TRUE,04/03/15,06:05 PM,09:05 PM,FREE,BUSY
04/04/15,06:10 PM,09:10 PM,Angels at Dodgers,Dodger Stadium,"Local TV: MLBN -- SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 LA Sports",04/04/15,04/05/15,09:10 PM,12:10 AM,FALSE,TRUE,04/04/15,05:10 PM,08:10 PM,FREE,BUSY
04/06/15,01:10 PM,04:10 PM,Padres at Dodgers,Dodger Stadium,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: 570 LA Sports -- KMBC -- KTNQ 1020",04/06/15,04/06/15,04:10 PM,07:10 PM,FALSE,TRUE,04/06/15,12:10 PM,03:10 PM,FREE,BUSY
04/07/15,07:10 PM,10:10 PM,Padres at Dodgers,Dodger Stadium,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: KMBC -- 570 LA Sports -- KTNQ 1020",04/07/15,04/08/15,10:10 PM,01:10 AM,FALSE,TRUE,04/07/15,06:10 PM,09:10 PM,FREE,BUSY
04/08/15,07:10 PM,10:10 PM,Padres at Dodgers,Dodger Stadium,"Local TV: SNLA Spanish -- SportsNet LA -- ESPN ----- Local Radio: KTNQ 1020 -- 570 LA Sports -- KMBC",04/08/15,04/09/15,10:10 PM,01:10 AM,FALSE,TRUE,04/08/15,06:10 PM,09:10 PM,FREE,BUSY
04/10/15,06:40 PM,09:40 PM,Dodgers at D-backs,Chase Field,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 LA Sports",04/10/15,04/11/15,09:40 PM,12:40 AM,FALSE,TRUE,04/10/15,05:40 PM,08:40 PM,FREE,BUSY
04/11/15,05:10 PM,08:10 PM,Dodgers at D-backs,Chase Field,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: KTNQ 1020 -- 570 LA Sports",04/11/15,04/11/15,08:10 PM,11:10 PM,FALSE,TRUE,04/11/15,04:10 PM,07:10 PM,FREE,BUSY
04/12/15,01:10 PM,04:10 PM,Dodgers at D-backs,Chase Field,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 LA Sports",04/12/15,04/12/15,04:10 PM,07:10 PM,FALSE,TRUE,04/12/15,12:10 PM,03:10 PM,FREE,BUSY
04/13/15,07:10 PM,10:10 PM,Mariners at Dodgers,Dodger Stadium,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: 570 LA Sports -- KTNQ 1020",04/13/15,04/14/15,10:10 PM,01:10 AM,FALSE,TRUE,04/13/15,06:10 PM,09:10 PM,FREE,BUSY
04/14/15,07:10 PM,10:10 PM,Mariners at Dodgers,Dodger Stadium,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: KMBC -- 570 LA Sports -- KTNQ 1020",04/14/15,04/15/15,10:10 PM,01:10 AM,FALSE,TRUE,04/14/15,06:10 PM,09:10 PM,FREE,BUSY
04/15/15,07:10 PM,10:10 PM,Mariners at Dodgers,Dodger Stadium,"Local TV: ESPN2 -- SportsNet LA -- SNLA Spanish ----- Local Radio: KTNQ 1020 -- 570 LA Sports",04/15/15,04/16/15,10:10 PM,01:10 AM,FALSE,TRUE,04/15/15,06:10 PM,09:10 PM,FREE,BUSY
04/17/15,07:10 PM,10:10 PM,Rockies at Dodgers,Dodger Stadium,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: KTNQ 1020 -- 570 LA Sports",04/17/15,04/18/15,10:10 PM,01:10 AM,FALSE,TRUE,04/17/15,06:10 PM,09:10 PM,FREE,BUSY
04/18/15,06:10 PM,09:10 PM,Rockies at Dodgers,Dodger Stadium,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: 570 LA Sports -- KTNQ 1020",04/18/15,04/19/15,09:10 PM,12:10 AM,FALSE,TRUE,04/18/15,05:10 PM,08:10 PM,FREE,BUSY
04/19/15,01:10 PM,04:10 PM,Rockies at Dodgers,Dodger Stadium,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: 570 LA Sports -- KTNQ 1020",04/19/15,04/19/15,04:10 PM,07:10 PM,FALSE,TRUE,04/19/15,12:10 PM,03:10 PM,FREE,BUSY
04/21/15,07:15 PM,10:15 PM,Dodgers at Giants,AT&T Park,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: KMBC -- KTNQ 1020 -- 570 LA Sports",04/21/15,04/22/15,10:15 PM,01:15 AM,FALSE,TRUE,04/21/15,06:15 PM,09:15 PM,FREE,BUSY
04/22/15,07:15 PM,10:15 PM,Dodgers at Giants,AT&T Park,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: KMBC -- KTNQ 1020 -- 570 LA Sports",04/22/15,04/23/15,10:15 PM,01:15 AM,FALSE,TRUE,04/22/15,06:15 PM,09:15 PM,FREE,BUSY
04/23/15,12:45 PM,03:45 PM,Dodgers at Giants,AT&T Park,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: 570 LA Sports -- KTNQ 1020 -- KMBC",04/23/15,04/23/15,03:45 PM,06:45 PM,FALSE,TRUE,04/23/15,11:45 AM,02:45 PM,FREE,BUSY
04/24/15,07:10 PM,10:10 PM,Dodgers at Padres,Petco Park,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: 570 LA Sports -- KTNQ 1020",04/24/15,04/25/15,10:10 PM,01:10 AM,FALSE,TRUE,04/24/15,06:10 PM,09:10 PM,FREE,BUSY
04/25/15,05:40 PM,08:40 PM,Dodgers at Padres,Petco Park,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: KTNQ 1020 -- KMBC -- 570 LA Sports",04/25/15,04/25/15,08:40 PM,11:40 PM,FALSE,TRUE,04/25/15,04:40 PM,07:40 PM,FREE,BUSY
04/26/15,01:10 PM,04:10 PM,Dodgers at Padres,Petco Park,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 LA Sports -- KMBC",04/26/15,04/26/15,04:10 PM,07:10 PM,FALSE,TRUE,04/26/15,12:10 PM,03:10 PM,FREE,BUSY
04/27/15,07:10 PM,10:10 PM,Giants at Dodgers,Dodger Stadium,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: 570 LA Sports -- KTNQ 1020 -- KMBC",04/27/15,04/28/15,10:10 PM,01:10 AM,FALSE,TRUE,04/27/15,06:10 PM,09:10 PM,FREE,BUSY
04/28/15,07:10 PM,10:10 PM,Giants at Dodgers,Dodger Stadium,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: KMBC -- KTNQ 1020 -- 570 LA Sports",04/28/15,04/29/15,10:10 PM,01:10 AM,FALSE,TRUE,04/28/15,06:10 PM,09:10 PM,FREE,BUSY
04/29/15,07:10 PM,10:10 PM,Giants at Dodgers,Dodger Stadium,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: 570 LA Sports -- KTNQ 1020 -- KMBC",04/29/15,04/30/15,10:10 PM,01:10 AM,FALSE,TRUE,04/29/15,06:10 PM,09:10 PM,FREE,BUSY
05/01/15,07:10 PM,10:10 PM,D-backs at Dodgers,Dodger Stadium,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 LA Sports",05/01/15,05/02/15,10:10 PM,01:10 AM,FALSE,TRUE,05/01/15,06:10 PM,09:10 PM,FREE,BUSY
05/02/15,06:10 PM,09:10 PM,D-backs at Dodgers,Dodger Stadium,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 LA Sports -- KMBC",05/02/15,05/03/15,09:10 PM,12:10 AM,FALSE,TRUE,05/02/15,05:10 PM,08:10 PM,FREE,BUSY
05/03/15,01:10 PM,04:10 PM,D-backs at Dodgers,Dodger Stadium,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: KMBC -- KTNQ 1020 -- 570 LA Sports",05/03/15,05/03/15,04:10 PM,07:10 PM,FALSE,TRUE,05/03/15,12:10 PM,03:10 PM,FREE,BUSY
05/04/15,04:20 PM,07:20 PM,Dodgers at Brewers,Miller Park,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 LA Sports",05/04/15,05/04/15,07:20 PM,10:20 PM,FALSE,TRUE,05/04/15,03:20 PM,06:20 PM,FREE,BUSY
05/05/15,05:10 PM,08:10 PM,Dodgers at Brewers,Miller Park,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 LA Sports",05/05/15,05/05/15,08:10 PM,11:10 PM,FALSE,TRUE,05/05/15,04:10 PM,07:10 PM,FREE,BUSY
05/06/15,05:10 PM,08:10 PM,Dodgers at Brewers,Miller Park,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 LA Sports",05/06/15,05/06/15,08:10 PM,11:10 PM,FALSE,TRUE,05/06/15,04:10 PM,07:10 PM,FREE,BUSY
05/07/15,10:40 AM,01:40 PM,Dodgers at Brewers,Miller Park,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: KTNQ 1020 -- 570 LA Sports -- KMBC",05/07/15,05/07/15,01:40 PM,04:40 PM,FALSE,TRUE,05/07/15,09:40 AM,12:40 PM,FREE,BUSY
05/08/15,05:40 PM,08:40 PM,Dodgers at Rockies,Coors Field,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: 570 LA Sports -- KTNQ 1020",05/08/15,05/08/15,08:40 PM,11:40 PM,FALSE,TRUE,05/08/15,04:40 PM,07:40 PM,FREE,BUSY
05/09/15,05:10 PM,08:10 PM,Dodgers at Rockies,Coors Field,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: 570 LA Sports -- KTNQ 1020",05/09/15,05/09/15,08:10 PM,11:10 PM,FALSE,TRUE,05/09/15,04:10 PM,07:10 PM,FREE,BUSY
05/10/15,01:10 PM,04:10 PM,Dodgers at Rockies,Coors Field,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 LA Sports",05/10/15,05/10/15,04:10 PM,07:10 PM,FALSE,TRUE,05/10/15,12:10 PM,03:10 PM,FREE,BUSY
05/11/15,07:10 PM,10:10 PM,Marlins at Dodgers,Dodger Stadium,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 LA Sports",05/11/15,05/12/15,10:10 PM,01:10 AM,FALSE,TRUE,05/11/15,06:10 PM,09:10 PM,FREE,BUSY
05/12/15,07:10 PM,10:10 PM,Marlins at Dodgers,Dodger Stadium,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: 570 LA Sports -- KTNQ 1020 -- KMBC",05/12/15,05/13/15,10:10 PM,01:10 AM,FALSE,TRUE,05/12/15,06:10 PM,09:10 PM,FREE,BUSY
05/13/15,04:50 PM,07:50 PM,Marlins at Dodgers,Dodger Stadium,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: KTNQ 1020 -- 570 LA Sports",05/13/15,05/13/15,07:50 PM,10:50 PM,FALSE,TRUE,05/13/15,03:50 PM,06:50 PM,FREE,BUSY
05/14/15,07:10 PM,10:10 PM,Rockies at Dodgers,Dodger Stadium,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 LA Sports",05/14/15,05/15/15,10:10 PM,01:10 AM,FALSE,TRUE,05/14/15,06:10 PM,09:10 PM,FREE,BUSY
05/15/15,07:10 PM,10:10 PM,Rockies at Dodgers,Dodger Stadium,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: KTNQ 1020 -- 570 LA Sports",05/15/15,05/16/15,10:10 PM,01:10 AM,FALSE,TRUE,05/15/15,06:10 PM,09:10 PM,FREE,BUSY
05/16/15,06:10 PM,09:10 PM,Rockies at Dodgers,Dodger Stadium,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 LA Sports",05/16/15,05/17/15,09:10 PM,12:10 AM,FALSE,TRUE,05/16/15,05:10 PM,08:10 PM,FREE,BUSY
05/17/15,01:10 PM,04:10 PM,Rockies at Dodgers,Dodger Stadium,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: KTNQ 1020 -- 570 LA Sports -- KMBC",05/17/15,05/17/15,04:10 PM,07:10 PM,FALSE,TRUE,05/17/15,12:10 PM,03:10 PM,FREE,BUSY
05/19/15,07:15 PM,10:15 PM,Dodgers at Giants,AT&T Park,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: 570 LA Sports -- KTNQ 1020 -- KMBC",05/19/15,05/20/15,10:15 PM,01:15 AM,FALSE,TRUE,05/19/15,06:15 PM,09:15 PM,FREE,BUSY
05/20/15,07:15 PM,10:15 PM,Dodgers at Giants,AT&T Park,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 LA Sports",05/20/15,05/21/15,10:15 PM,01:15 AM,FALSE,TRUE,05/20/15,06:15 PM,09:15 PM,FREE,BUSY
05/21/15,12:45 PM,03:45 PM,Dodgers at Giants,AT&T Park,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: KTNQ 1020 -- 570 LA Sports",05/21/15,05/21/15,03:45 PM,06:45 PM,FALSE,TRUE,05/21/15,11:45 AM,02:45 PM,FREE,BUSY
05/22/15,07:10 PM,10:10 PM,Padres at Dodgers,Dodger Stadium,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 LA Sports -- KMBC",05/22/15,05/23/15,10:10 PM,01:10 AM,FALSE,TRUE,05/22/15,06:10 PM,09:10 PM,FREE,BUSY
05/23/15,07:10 PM,10:10 PM,Padres at Dodgers,Dodger Stadium,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: 570 LA Sports -- KMBC -- KTNQ 1020",05/23/15,05/24/15,10:10 PM,01:10 AM,FALSE,TRUE,05/23/15,06:10 PM,09:10 PM,FREE,BUSY
05/24/15,01:10 PM,04:10 PM,Padres at Dodgers,Dodger Stadium,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: 570 LA Sports -- KTNQ 1020 -- KMBC",05/24/15,05/24/15,04:10 PM,07:10 PM,FALSE,TRUE,05/24/15,12:10 PM,03:10 PM,FREE,BUSY
05/25/15,05:10 PM,08:10 PM,Braves at Dodgers,Dodger Stadium,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 LA Sports",05/25/15,05/25/15,08:10 PM,11:10 PM,FALSE,TRUE,05/25/15,04:10 PM,07:10 PM,FREE,BUSY
05/26/15,07:10 PM,10:10 PM,Braves at Dodgers,Dodger Stadium,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 LA Sports",05/26/15,05/27/15,10:10 PM,01:10 AM,FALSE,TRUE,05/26/15,06:10 PM,09:10 PM,FREE,BUSY
05/27/15,07:10 PM,10:10 PM,Braves at Dodgers,Dodger Stadium,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: KTNQ 1020 -- 570 LA Sports",05/27/15,05/28/15,10:10 PM,01:10 AM,FALSE,TRUE,05/27/15,06:10 PM,09:10 PM,FREE,BUSY
05/29/15,05:15 PM,08:15 PM,Dodgers at Cardinals,Busch Stadium,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: KTNQ 1020 -- 570 LA Sports -- KMBC",05/29/15,05/29/15,08:15 PM,11:15 PM,FALSE,TRUE,05/29/15,04:15 PM,07:15 PM,FREE,BUSY
05/30/15,04:15 PM,07:15 PM,Dodgers at Cardinals,Busch Stadium,"Local TV: FOX -- SNLA Spanish ----- Local Radio: KTNQ 1020 -- 570 LA Sports -- KMBC",05/30/15,05/30/15,07:15 PM,10:15 PM,FALSE,TRUE,05/30/15,03:15 PM,06:15 PM,FREE,BUSY
05/31/15,11:15 AM,02:15 PM,Dodgers at Cardinals,Busch Stadium,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: KTNQ 1020 -- KMBC -- 570 LA Sports",05/31/15,05/31/15,02:15 PM,05:15 PM,FALSE,TRUE,05/31/15,10:15 AM,01:15 PM,FREE,BUSY
06/01/15,05:40 PM,08:40 PM,Dodgers at Rockies,Coors Field,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: 570 LA Sports -- KTNQ 1020",06/01/15,06/01/15,08:40 PM,11:40 PM,FALSE,TRUE,06/01/15,04:40 PM,07:40 PM,FREE,BUSY
06/02/15,05:40 PM,08:40 PM,Dodgers at Rockies,Coors Field,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: 570 LA Sports -- KTNQ 1020",06/02/15,06/02/15,08:40 PM,11:40 PM,FALSE,TRUE,06/02/15,04:40 PM,07:40 PM,FREE,BUSY
06/03/15,05:10 PM,08:10 PM,Dodgers at Rockies,Coors Field,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: 570 LA Sports -- KTNQ 1020",06/03/15,06/03/15,08:10 PM,11:10 PM,FALSE,TRUE,06/03/15,04:10 PM,07:10 PM,FREE,BUSY
06/04/15,07:10 PM,10:10 PM,Cardinals at Dodgers,Dodger Stadium,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 LA Sports",06/04/15,06/05/15,10:10 PM,01:10 AM,FALSE,TRUE,06/04/15,06:10 PM,09:10 PM,FREE,BUSY
06/05/15,07:10 PM,10:10 PM,Cardinals at Dodgers,Dodger Stadium,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 LA Sports",06/05/15,06/06/15,10:10 PM,01:10 AM,FALSE,TRUE,06/05/15,06:10 PM,09:10 PM,FREE,BUSY
06/06/15,07:10 PM,10:10 PM,Cardinals at Dodgers,Dodger Stadium,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: KTNQ 1020 -- KMBC -- 570 LA Sports",06/06/15,06/07/15,10:10 PM,01:10 AM,FALSE,TRUE,06/06/15,06:10 PM,09:10 PM,FREE,BUSY
